Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727793501	2727793501	0.015486018957346	3.575e-03	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793501/Limnohabitans_MAG/2727793501_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790972	2727790972	0.0160984716981132	3.734e-03	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790972/Limnohabitans_MAG/2727790972_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792416	2727792416	0.0167995774647887	3.915e-03	9	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792416/Limnohabitans_MAG/2727792416_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794203	2727794203	0.0168662897196262	3.949e-03	9	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794203/Limnohabitans_MAG/2727794203_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791492	2727791492	0.0171066790697674	4.024e-03	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791492/Limnohabitans_MAG/2727791492_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793265	2727793265	0.0171078796296296	4.043e-03	9	43	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793265/Limnohabitans_MAG/2727793265_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794090	2727794090	0.0171815229357798	4.087e-03	9	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794090/Limnohabitans_MAG/2727794090_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792342	2727792342	0.0171815229357798	4.098e-03	9	26	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792342/Limnohabitans_MAG/2727792342_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793610	2727793610	0.0174494703196347	4.181e-03	9	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793610/Limnohabitans_MAG/2727793610_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793806	2727793806	0.0175031	4.213e-03	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793806/Limnohabitans_MAG/2727793806_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791144	2727791144	0.0177299457013575	4.287e-03	5	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791144/Limnohabitans_MAG/2727791144_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791665	2727791665	0.0178971081081081	4.347e-03	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791665/Limnohabitans_MAG/2727791665_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791938	2727791938	0.0180422780269058	4.402e-03	7	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791938/Limnohabitans_MAG/2727791938_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793003	2727793003	0.0182187946428571	4.465e-03	9	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793003/Limnohabitans_MAG/2727793003_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794359	2727794359	0.0186902844444444	4.601e-03	9	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794359/Limnohabitans_MAG/2727794359_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791008	2727791008	0.0189109026548673	4.676e-03	9	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791008/Limnohabitans_MAG/2727791008_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791812	2727791812	0.0189524140969163	4.707e-03	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791812/Limnohabitans_MAG/2727791812_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792137	2727792137	0.0190256315789474	4.746e-03	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792137/Limnohabitans_MAG/2727792137_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793687	2727793687	0.0196370305676856	4.920e-03	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793687/Limnohabitans_MAG/2727793687_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793724	2727793724	0.0204974434782609	5.158e-03	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793724/Limnohabitans_MAG/2727793724_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791872	2727791872	0.0205392813852814	5.191e-03	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791872/Limnohabitans_MAG/2727791872_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793653	2727793653	0.0211323103448276	5.364e-03	8	26	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793653/Limnohabitans_MAG/2727793653_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793273	2727793273	0.021359356223176	5.445e-03	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793273/Limnohabitans_MAG/2727793273_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792232	2727792232	0.0217992905982906	5.581e-03	8	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792232/Limnohabitans_MAG/2727792232_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792276	2727792276	0.0220176765957447	5.661e-03	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792276/Limnohabitans_MAG/2727792276_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793092	2727793092	0.0224356016949153	5.793e-03	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793092/Limnohabitans_MAG/2727793092_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792119	2727792119	0.0226176916666667	5.892e-03	9	53	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792119/Limnohabitans_MAG/2727792119_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792106	2727792106	0.0226176916666667	5.901e-03	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792106/Limnohabitans_MAG/2727792106_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793560	2727793560	0.0226176916666667	5.919e-03	9	20	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793560/Limnohabitans_MAG/2727793560_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791835	2727791835	0.0226176916666667	5.939e-03	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791835/Limnohabitans_MAG/2727791835_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793512	2727793512	0.0226679585062241	5.977e-03	8	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793512/Limnohabitans_MAG/2727793512_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791041	2727791041	0.0228764380165289	6.057e-03	8	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791041/Limnohabitans_MAG/2727791041_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791606	2727791606	0.0248165983606557	6.610e-03	9	29	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791606/Limnohabitans_MAG/2727791606_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791551	2727791551	0.0248165983606557	6.625e-03	9	18	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791551/Limnohabitans_MAG/2727791551_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792838	2727792838	0.0250249469387755	6.708e-03	9	65	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792838/Limnohabitans_MAG/2727792838_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792075	2727792075	0.0252241707317073	6.789e-03	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792075/Limnohabitans_MAG/2727792075_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791446	2727791446	0.0254298387096774	6.877e-03	8	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791446/Limnohabitans_MAG/2727791446_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794088	2727794088	0.0254298387096774	6.900e-03	9	24	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794088/Limnohabitans_MAG/2727794088_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793349	2727793349	0.0257241445783133	7.008e-03	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793349/Limnohabitans_MAG/2727793349_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793067	2727793067	0.026144056	7.151e-03	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793067/Limnohabitans_MAG/2727793067_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793572	2727793572	0.0266474523809524	7.329e-03	6	26	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793572/Limnohabitans_MAG/2727793572_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791007	2727791007	0.0266474523809524	7.347e-03	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791007/Limnohabitans_MAG/2727791007_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793432	2727793432	0.0270948616600791	7.500e-03	9	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793432/Limnohabitans_MAG/2727793432_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793081	2727793081	0.0280857086614173	7.805e-03	8	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793081/Limnohabitans_MAG/2727793081_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793412	2727793412	0.0287712862745098	8.027e-03	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793412/Limnohabitans_MAG/2727793412_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791018	2727791018	0.0294515078125	8.249e-03	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791018/Limnohabitans_MAG/2727791018_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790897	2727790897	0.0294613852140078	8.284e-03	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790897/Limnohabitans_MAG/2727790897_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794199	2727794199	0.0300243706563707	8.505e-03	9	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794199/Limnohabitans_MAG/2727794199_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792825	2727792825	0.0300243706563707	8.508e-03	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792825/Limnohabitans_MAG/2727792825_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792228	2727792228	0.0306922595419847	8.766e-03	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792228/Limnohabitans_MAG/2727792228_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793185	2727793185	0.0306922595419847	8.768e-03	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793185/Limnohabitans_MAG/2727793185_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793946	2727793946	0.0306922595419847	8.798e-03	5	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793946/Limnohabitans_MAG/2727793946_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792201	2727792201	0.0307875513307985	8.859e-03	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792201/Limnohabitans_MAG/2727792201_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791613	2727791613	0.0307990303030303	8.896e-03	9	34	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791613/Limnohabitans_MAG/2727791613_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791247	2727791247	0.0310932452830189	9.015e-03	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791247/Limnohabitans_MAG/2727791247_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792922	2727792922	0.0315398721804511	9.179e-03	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792922/Limnohabitans_MAG/2727792922_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793885	2727793885	0.0322433183520599	9.419e-03	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793885/Limnohabitans_MAG/2727793885_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793317	2727793317	0.0327914552238806	9.615e-03	8	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793317/Limnohabitans_MAG/2727793317_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793805	2727793805	0.0337228624535316	9.925e-03	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793805/Limnohabitans_MAG/2727793805_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793585	2727793585	0.0339195555555556	1.002e-02	9	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793585/Limnohabitans_MAG/2727793585_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793093	2727793093	0.0358569230769231	1.067e-02	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793093/Limnohabitans_MAG/2727793093_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792845	2727792845	0.0358569230769231	1.068e-02	9	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792845/Limnohabitans_MAG/2727792845_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791853	2727791853	0.0358569230769231	1.071e-02	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791853/Limnohabitans_MAG/2727791853_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790794	2727790794	0.0366600729927007	1.099e-02	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790794/Limnohabitans_MAG/2727790794_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790725	2727790725	0.038388	1.155e-02	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790725/Limnohabitans_MAG/2727790725_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792685	2727792685	0.0397060144927536	1.199e-02	9	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792685/Limnohabitans_MAG/2727792685_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791251	2727791251	0.0406515523465704	1.232e-02	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791251/Limnohabitans_MAG/2727791251_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793848	2727793848	0.0415245323741007	1.263e-02	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793848/Limnohabitans_MAG/2727793848_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791990	2727791990	0.0426860931899642	1.303e-02	9	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791990/Limnohabitans_MAG/2727791990_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792621	2727792621	0.0433255516014235	1.329e-02	7	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792621/Limnohabitans_MAG/2727792621_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792587	2727792587	0.0433255516014235	1.332e-02	8	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792587/Limnohabitans_MAG/2727792587_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790910	2727790910	0.0442090780141844	1.364e-02	9	20	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790910/Limnohabitans_MAG/2727790910_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793667	2727793667	0.0463782332155477	1.436e-02	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793667/Limnohabitans_MAG/2727793667_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792918	2727792918	0.048009052631579	1.497e-02	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792918/Limnohabitans_MAG/2727792918_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792370	2727792370	0.048009052631579	1.497e-02	8	52	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792370/Limnohabitans_MAG/2727792370_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791769	2727791769	0.0487572822299652	1.530e-02	9	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791769/Limnohabitans_MAG/2727791769_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792472	2727792472	0.0487572822299652	1.531e-02	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792472/Limnohabitans_MAG/2727792472_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791559	2727791559	0.0497026896551724	1.570e-02	9	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791559/Limnohabitans_MAG/2727791559_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793153	2727793153	0.0497026896551724	1.576e-02	7	20	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793153/Limnohabitans_MAG/2727793153_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791311	2727791311	0.0497026896551724	1.577e-02	9	13	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791311/Limnohabitans_MAG/2727791311_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791779	2727791779	0.0498317808219178	1.589e-02	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791779/Limnohabitans_MAG/2727791779_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792641	2727792641	0.0498317808219178	1.592e-02	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792641/Limnohabitans_MAG/2727792641_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794329	2727794329	0.0544344709897611	1.745e-02	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794329/Limnohabitans_MAG/2727794329_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793321	2727793321	0.0564255102040816	1.815e-02	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793321/Limnohabitans_MAG/2727793321_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794456	2727794456	0.0565750508474576	1.826e-02	9	36	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794456/Limnohabitans_MAG/2727794456_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793651	2727793651	0.0588541891891892	1.906e-02	9	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793651/Limnohabitans_MAG/2727793651_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794324	2727794324	0.0596860402684564	1.941e-02	7	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794324/Limnohabitans_MAG/2727794324_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792826	2727792826	0.0596860402684564	1.946e-02	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792826/Limnohabitans_MAG/2727792826_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792794	2727792794	0.0603423411371238	1.974e-02	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792794/Limnohabitans_MAG/2727792794_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793691	2727793691	0.0615731333333333	2.021e-02	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793691/Limnohabitans_MAG/2727793691_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793188	2727793188	0.0624009966777409	2.055e-02	9	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793188/Limnohabitans_MAG/2727793188_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794344	2727794344	0.0628904635761589	2.078e-02	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794344/Limnohabitans_MAG/2727794344_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793413	2727793413	0.0631957095709571	2.095e-02	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793413/Limnohabitans_MAG/2727793413_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792391	2727792391	0.0632283552631579	2.103e-02	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792391/Limnohabitans_MAG/2727792391_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793777	2727793777	0.0638301639344262	2.130e-02	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793777/Limnohabitans_MAG/2727793777_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792170	2727792170	0.0643085620915033	2.153e-02	9	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792170/Limnohabitans_MAG/2727792170_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793270	2727793270	0.0660342671009772	2.218e-02	9	37	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793270/Limnohabitans_MAG/2727793270_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792683	2727792683	0.0677784415584416	2.284e-02	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792683/Limnohabitans_MAG/2727792683_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
